0.0019,0.0007,0.0058,-0.0013
0.0984,-0.0007,0.0951,-0.0012
0.0993,0.0981,0.0947,0.0907
0.0016,0.0993,0.0036,0.0906
-0.0984,0.0980,-0.0903,0.0880
-0.0990,-0.0002,-0.0884,-0.0028
-0.0990,-0.0983,-0.0871,-0.0937
-0.0012,-0.1006,0.0047,-0.0946
0.0986,-0.1001,0.0972,-0.0937
0.1998,-0.0025,0.1881,-0.0018
0.2006,0.1961,0.1889,0.1843
0.0074,0.2012,0.0081,0.1842
-0.1958,0.1997,-0.1855,0.1842
-0.2011,0.0076,-0.1826,0.0042
-0.2014,-0.1990,-0.1810,-0.1890
-0.0054,-0.2045,0.0019,-0.1877
.1973,-0.2023,0.1915,-0.1875
0.3031,-0.0070,0.2805,-0.0042
0.3007,0.3000,0.2837,0.2849
0.0093,0.3028,0.0094,0.2765
-0.2978,0.2992,-0.2844,0.2808
-0.3021,0.0106,-0.2742,0.0064
-0.3013,-0.2996,-0.2754,-0.2860
-0.0060,-0.3041,0.0024,-0.2783
0.2996,-0.3025,0.2895,-0.2807
0.3988,-0.0099,0.3654,-0.0062
0.3989,0.3977,0.3808,0.3809
0.0313,0.3791,0.0294,0.3454
-0.3983,0.4001,-0.3827,0.3790
-0.3992,-0.3985,-0.3674,-0.3813
-0.0057,-0.3990,0.0047,-0.3682
0.4010,-0.3994,0.3886,-0.3729
-0.3951,-0.0131,-0.3567,-0.0151
-0.0100,-0.0015,-0.0044,-0.0029
