-0.3638,-0.3636,8.1974,15.7299,15.4397,51.8812,0.0421,0,0
-0.3140,-0.3725,16.6257,31.1800,11.0422,36.8779,0.0224,1,0
-0.2410,-0.3625,8.2699,31.8630,7.8196,38.5584,0.0323,2,0
-0.1742,-0.3496,7.7281,37.6689,7.8927,37.9515,0.0441,3,0
-0.1070,-0.3445,7.9487,39.7800,8.1709,36.8072,0.0490,4,0
-0.0381,-0.3388,7.9085,41.4629,7.7580,36.8996,0.0547,5,0
0.0307,-0.3434,7.7879,40.4908,8.2654,35.3959,0.0503,6,0
0.0939,-0.3457,7.7340,44.3109,7.9936,30.4031,0.0496,7,0
0.1622,-0.3518,7.9751,44.3665,8.3727,28.5943,0.0449,8,0
0.2302,-0.3565,7.8995,45.8644,8.0960,26.2819,0.0421,9,0
0.2988,-0.3664,10.8587,46.2980,8.3838,22.3334,0.0357,10,0
0.3667,-0.3654,15.7132,49.6089,9.3527,17.5150,0.0388,11,0
0.3742,-0.3171,32.9818,34.7680,18.1017,11.8848,0.0199,11,1
0.3089,-0.3089,24.1816,40.5826,19.6259,23.9379,0.0185,10,1
0.2417,-0.3036,16.8629,39.6061,17.4016,29.9184,0.0203,9,1
0.1744,-0.3007,12.3368,37.8704,16.0164,34.2114,0.0216,8,1
0.1051,-0.2987,10.6415,36.8873,13.7299,35.6080,0.0233,7,1
0.0389,-0.2953,8.1353,34.5966,10.6496,39.1040,0.0268,6,1
-0.0280,-0.2937,8.0683,32.2180,9.8163,41.3890,0.0293,5,1
-0.0970,-0.2966,9.5961,30.6284,11.7849,42.3039,0.0273,4,1
-0.1626,-0.2960,8.9526,27.0966,12.6028,45.7740,0.0306,3,1
-0.2308,-0.2991,11.4305,23.5102,16.1708,46.1514,0.0301,2,1
-0.2986,-0.2986,11.5938,19.2081,19.4117,48.7878,0.0330,1,1
-0.3659,-0.2994,8.1675,9.4904,22.8947,46.0399,0.0356,0,1
-0.3652,-0.2477,11.4993,8.0359,36.1384,34.0643,0.0285,0,2
-0.3040,-0.2398,17.0845,17.7625,28.2356,40.4057,0.0208,1,2
-0.2406,-0.2366,19.9441,27.5470,22.3307,40.0814,0.0169,2,2
-0.1737,-0.2346,19.6897,31.5618,18.5245,38.5611,0.0166,3,2
-0.1065,-0.2336,19.7136,35.1958,16.8532,36.0449,0.0168,4,2
-0.0394,-0.2327,19.1550,38.3392,15.3261,33.8430,0.0181,5,2
